[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00000.json.gz
[debug] max_distance = 10.0
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00000.json.gz
[debug] max_distance = 10.0
[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00005.json.gz
[debug] max_distance = 10.0
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00005.json.gz
[debug] max_distance = 10.0
[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00010.json.gz
[debug] max_distance = 18.56891867956029
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00010.json.gz
[debug] max_distance = 18.56891867956029
[debug] frame = 00010, id = 18706, distance = 14.248617670845167
[debug] frame = 00060, id = 18706, distance = 9.385142569730691
[debug] frame = 00061, id = 18706, distance = 9.385142569730691
[debug] frame = 00062, id = 18706, distance = 9.385142569730691
[debug] frame = 00063, id = 18706, distance = 9.385142569730691
[debug] frame = 00064, id = 18706, distance = 9.385142569730691
[debug] frame = 00065, id = 18706, distance = 9.385142569730691
[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00020.json.gz
[debug] max_distance = 39.92239361757578
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00020.json.gz
[debug] max_distance = 39.92239361757578
[debug] frame = 00020, id = 18706, distance = 11.62784779638731
[debug] frame = 00020, id = 18705, distance = 26.63302391312033
[debug] frame = 00021, id = 18706, distance = 11.480112156301269
[debug] frame = 00021, id = 18705, distance = 26.42361492967301
[debug] frame = 00022, id = 18706, distance = 11.425686064994332
[debug] frame = 00022, id = 18705, distance = 26.318272024881484
[debug] frame = 00023, id = 18706, distance = 11.454673824172843
[debug] frame = 00023, id = 18705, distance = 26.36360788747247
[debug] frame = 00024, id = 18706, distance = 11.51170842178741
[debug] frame = 00024, id = 18705, distance = 26.49522567484014
[debug] frame = 00025, id = 18706, distance = 11.574683388635261
[debug] frame = 00025, id = 18705, distance = 26.65466107762874
[debug] frame = 00026, id = 18706, distance = 11.661261100836022
[debug] frame = 00026, id = 18705, distance = 26.818819400624196
[debug] frame = 00027, id = 18706, distance = 11.737006075700158
[debug] frame = 00027, id = 18705, distance = 26.948908925261232
[debug] frame = 00028, id = 18706, distance = 11.7575449643483
[debug] frame = 00028, id = 18705, distance = 27.00903812648709
[debug] frame = 00029, id = 18706, distance = 11.726515087094038
[debug] frame = 00029, id = 18705, distance = 27.009923870334127
[debug] frame = 00030, id = 18706, distance = 11.520973508911034
[debug] frame = 00030, id = 18705, distance = 26.902158336945355
[debug] frame = 00031, id = 18706, distance = 11.074972249381034
[debug] frame = 00031, id = 18705, distance = 26.61495611712184
[debug] frame = 00032, id = 18706, distance = 10.46217320252968
[debug] frame = 00032, id = 18705, distance = 26.10493996897308
[debug] frame = 00033, id = 18706, distance = 9.88118138227136
[debug] frame = 00033, id = 18705, distance = 25.522115664734617
[debug] frame = 00034, id = 18706, distance = 9.505657911888822
[debug] frame = 00034, id = 18705, distance = 25.14487290065346
[debug] frame = 00035, id = 18706, distance = 9.390814809123432
[debug] frame = 00035, id = 18705, distance = 25.028547600322167
[debug] frame = 00036, id = 18706, distance = 9.392008812573163
[debug] frame = 00036, id = 18705, distance = 25.02860100199648
[debug] frame = 00037, id = 18706, distance = 9.390456280341617
[debug] frame = 00037, id = 18705, distance = 25.026228260236852
[debug] frame = 00038, id = 18706, distance = 9.388774044920744
[debug] frame = 00038, id = 18705, distance = 25.023985219046626
[debug] frame = 00039, id = 18706, distance = 9.387450380452103
[debug] frame = 00039, id = 18705, distance = 25.022299124620968
[debug] frame = 00040, id = 18706, distance = 9.38651199635391
[debug] frame = 00040, id = 18705, distance = 25.021086052523618
[debug] frame = 00041, id = 18706, distance = 9.38588259176286
[debug] frame = 00041, id = 18705, distance = 25.020284966384708
[debug] frame = 00042, id = 18706, distance = 9.385432468971665
[debug] frame = 00042, id = 18705, distance = 25.01976998183884
[debug] frame = 00043, id = 18706, distance = 9.38515018972805
[debug] frame = 00043, id = 18705, distance = 25.019441918027844
[debug] frame = 00044, id = 18706, distance = 9.384978533431502
[debug] frame = 00044, id = 18705, distance = 25.019235923904326
[debug] frame = 00045, id = 18706, distance = 9.385039570449939
[debug] frame = 00045, id = 18705, distance = 25.019235923904326
[debug] frame = 00046, id = 18706, distance = 9.385062459790426
[debug] frame = 00046, id = 18705, distance = 25.019235923904326
[debug] frame = 00047, id = 18706, distance = 9.38508534729662
[debug] frame = 00047, id = 18705, distance = 25.019235923904326
[debug] frame = 00048, id = 18706, distance = 9.385100607468376
[debug] frame = 00048, id = 18705, distance = 25.019235923904326
[debug] frame = 00049, id = 18706, distance = 9.385115865805838
[debug] frame = 00049, id = 18705, distance = 25.019235923904326
[debug] frame = 00050, id = 18706, distance = 9.385127309558937
[debug] frame = 00050, id = 18705, distance = 25.019235923904326
[debug] frame = 00051, id = 18706, distance = 9.385131125977594
[debug] frame = 00051, id = 18705, distance = 25.019235923904326
[debug] frame = 00052, id = 18706, distance = 9.385131125977594
[debug] frame = 00052, id = 18705, distance = 25.019235923904326
[debug] frame = 00053, id = 18706, distance = 9.38513494056196
[debug] frame = 00053, id = 18705, distance = 25.019235923904326
[debug] frame = 00054, id = 18706, distance = 9.38513494056196
[debug] frame = 00054, id = 18705, distance = 25.019235923904326
[debug] frame = 00055, id = 18706, distance = 9.385142569730691
[debug] frame = 00055, id = 18705, distance = 25.019235923904326
[debug] frame = 00056, id = 18706, distance = 9.385142569730691
[debug] frame = 00056, id = 18705, distance = 25.019235923904326
[debug] frame = 00057, id = 18706, distance = 9.385142569730691
[debug] frame = 00057, id = 18705, distance = 25.019235923904326
[debug] frame = 00058, id = 18706, distance = 9.385142569730691
[debug] frame = 00058, id = 18705, distance = 25.019235923904326
[debug] frame = 00059, id = 18706, distance = 9.385142569730691
[debug] frame = 00059, id = 18705, distance = 25.019235923904326
[debug] frame = 00060, id = 18706, distance = 9.385142569730691
[debug] frame = 00060, id = 18705, distance = 25.019235923904326
[debug] frame = 00061, id = 18706, distance = 9.385142569730691
[debug] frame = 00061, id = 18705, distance = 25.019235923904326
[debug] frame = 00062, id = 18706, distance = 9.385142569730691
[debug] frame = 00062, id = 18705, distance = 25.019235923904326
[debug] frame = 00063, id = 18706, distance = 9.385142569730691
[debug] frame = 00063, id = 18705, distance = 25.019235923904326
[debug] frame = 00064, id = 18706, distance = 9.385142569730691
[debug] frame = 00064, id = 18705, distance = 25.019235923904326
[debug] frame = 00065, id = 18706, distance = 9.385142569730691
[debug] frame = 00065, id = 18705, distance = 25.019235923904326
[debug] frame = 00066, id = 18706, distance = 9.385142569730691
[debug] frame = 00066, id = 18705, distance = 25.019235923904326
[debug] frame = 00067, id = 18706, distance = 9.385142569730691
[debug] frame = 00067, id = 18705, distance = 25.019235923904326
[debug] frame = 00068, id = 18706, distance = 9.385142569730691
[debug] frame = 00068, id = 18705, distance = 25.019235923904326
[debug] frame = 00069, id = 18706, distance = 9.385142569730691
[debug] frame = 00069, id = 18705, distance = 25.019235923904326
[debug] frame = 00070, id = 18706, distance = 9.385142569730691
[debug] frame = 00070, id = 18705, distance = 25.019235923904326
[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00025.json.gz
[debug] max_distance = 34.254378541356274
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00025.json.gz
[debug] max_distance = 34.254378541356274
[debug] frame = 00025, id = 18706, distance = 11.574683388635261
[debug] frame = 00025, id = 18705, distance = 26.65466107762874
[debug] frame = 00026, id = 18706, distance = 11.661261100836022
[debug] frame = 00026, id = 18705, distance = 26.818819400624196
[debug] frame = 00027, id = 18706, distance = 11.737006075700158
[debug] frame = 00027, id = 18705, distance = 26.948908925261232
[debug] frame = 00028, id = 18706, distance = 11.7575449643483
[debug] frame = 00028, id = 18705, distance = 27.00903812648709
[debug] frame = 00029, id = 18706, distance = 11.726515087094038
[debug] frame = 00029, id = 18705, distance = 27.009923870334127
[debug] frame = 00030, id = 18706, distance = 11.520973508911034
[debug] frame = 00030, id = 18705, distance = 26.902158336945355
[debug] frame = 00031, id = 18706, distance = 11.074972249381034
[debug] frame = 00031, id = 18705, distance = 26.61495611712184
[debug] frame = 00032, id = 18706, distance = 10.46217320252968
[debug] frame = 00032, id = 18705, distance = 26.10493996897308
[debug] frame = 00033, id = 18706, distance = 9.88118138227136
[debug] frame = 00033, id = 18705, distance = 25.522115664734617
[debug] frame = 00034, id = 18706, distance = 9.505657911888822
[debug] frame = 00034, id = 18705, distance = 25.14487290065346
[debug] frame = 00035, id = 18706, distance = 9.390814809123432
[debug] frame = 00035, id = 18705, distance = 25.028547600322167
[debug] frame = 00036, id = 18706, distance = 9.392008812573163
[debug] frame = 00036, id = 18705, distance = 25.02860100199648
[debug] frame = 00037, id = 18706, distance = 9.390456280341617
[debug] frame = 00037, id = 18705, distance = 25.026228260236852
[debug] frame = 00038, id = 18706, distance = 9.388774044920744
[debug] frame = 00038, id = 18705, distance = 25.023985219046626
[debug] frame = 00039, id = 18706, distance = 9.387450380452103
[debug] frame = 00039, id = 18705, distance = 25.022299124620968
[debug] frame = 00040, id = 18706, distance = 9.38651199635391
[debug] frame = 00040, id = 18705, distance = 25.021086052523618
[debug] frame = 00041, id = 18706, distance = 9.38588259176286
[debug] frame = 00041, id = 18705, distance = 25.020284966384708
[debug] frame = 00042, id = 18706, distance = 9.385432468971665
[debug] frame = 00042, id = 18705, distance = 25.01976998183884
[debug] frame = 00043, id = 18706, distance = 9.38515018972805
[debug] frame = 00043, id = 18705, distance = 25.019441918027844
[debug] frame = 00044, id = 18706, distance = 9.384978533431502
[debug] frame = 00044, id = 18705, distance = 25.019235923904326
[debug] frame = 00045, id = 18706, distance = 9.385039570449939
[debug] frame = 00045, id = 18705, distance = 25.019235923904326
[debug] frame = 00046, id = 18706, distance = 9.385062459790426
[debug] frame = 00046, id = 18705, distance = 25.019235923904326
[debug] frame = 00047, id = 18706, distance = 9.38508534729662
[debug] frame = 00047, id = 18705, distance = 25.019235923904326
[debug] frame = 00048, id = 18706, distance = 9.385100607468376
[debug] frame = 00048, id = 18705, distance = 25.019235923904326
[debug] frame = 00049, id = 18706, distance = 9.385115865805838
[debug] frame = 00049, id = 18705, distance = 25.019235923904326
[debug] frame = 00050, id = 18706, distance = 9.385127309558937
[debug] frame = 00050, id = 18705, distance = 25.019235923904326
[debug] frame = 00051, id = 18706, distance = 9.385131125977594
[debug] frame = 00051, id = 18705, distance = 25.019235923904326
[debug] frame = 00052, id = 18706, distance = 9.385131125977594
[debug] frame = 00052, id = 18705, distance = 25.019235923904326
[debug] frame = 00053, id = 18706, distance = 9.38513494056196
[debug] frame = 00053, id = 18705, distance = 25.019235923904326
[debug] frame = 00054, id = 18706, distance = 9.38513494056196
[debug] frame = 00054, id = 18705, distance = 25.019235923904326
[debug] frame = 00055, id = 18706, distance = 9.385142569730691
[debug] frame = 00055, id = 18705, distance = 25.019235923904326
[debug] frame = 00056, id = 18706, distance = 9.385142569730691
[debug] frame = 00056, id = 18705, distance = 25.019235923904326
[debug] frame = 00057, id = 18706, distance = 9.385142569730691
[debug] frame = 00057, id = 18705, distance = 25.019235923904326
[debug] frame = 00058, id = 18706, distance = 9.385142569730691
[debug] frame = 00058, id = 18705, distance = 25.019235923904326
[debug] frame = 00059, id = 18706, distance = 9.385142569730691
[debug] frame = 00059, id = 18705, distance = 25.019235923904326
[debug] frame = 00060, id = 18706, distance = 9.385142569730691
[debug] frame = 00060, id = 18705, distance = 25.019235923904326
[debug] frame = 00061, id = 18706, distance = 9.385142569730691
[debug] frame = 00061, id = 18705, distance = 25.019235923904326
[debug] frame = 00062, id = 18706, distance = 9.385142569730691
[debug] frame = 00062, id = 18705, distance = 25.019235923904326
[debug] frame = 00063, id = 18706, distance = 9.385142569730691
[debug] frame = 00063, id = 18705, distance = 25.019235923904326
[debug] frame = 00064, id = 18706, distance = 9.385142569730691
[debug] frame = 00064, id = 18705, distance = 25.019235923904326
[debug] frame = 00065, id = 18706, distance = 9.385142569730691
[debug] frame = 00065, id = 18705, distance = 25.019235923904326
[debug] frame = 00066, id = 18706, distance = 9.385142569730691
[debug] frame = 00066, id = 18705, distance = 25.019235923904326
[debug] frame = 00067, id = 18706, distance = 9.385142569730691
[debug] frame = 00067, id = 18705, distance = 25.019235923904326
[debug] frame = 00068, id = 18706, distance = 9.385142569730691
[debug] frame = 00068, id = 18705, distance = 25.019235923904326
[debug] frame = 00069, id = 18706, distance = 9.385142569730691
[debug] frame = 00069, id = 18705, distance = 25.019235923904326
[debug] frame = 00070, id = 18706, distance = 9.385142569730691
[debug] frame = 00070, id = 18705, distance = 25.019235923904326
[debug] frame = 00071, id = 18706, distance = 9.385142569730691
[debug] frame = 00071, id = 18705, distance = 25.019235923904326
[debug] frame = 00072, id = 18706, distance = 9.385142569730691
[debug] frame = 00072, id = 18705, distance = 25.019235923904326
[debug] frame = 00073, id = 18706, distance = 9.385142569730691
[debug] frame = 00073, id = 18705, distance = 25.019235923904326
[debug] frame = 00074, id = 18706, distance = 9.385142569730691
[debug] frame = 00074, id = 18705, distance = 25.019235923904326
[debug] frame = 00075, id = 18706, distance = 9.385142569730691
[debug] frame = 00075, id = 18705, distance = 25.019235923904326
[debug] res = (False, [])
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00030.json.gz
[debug] max_distance = 34.29152542752374
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00030.json.gz
[debug] max_distance = 34.29152542752374
[debug] frame = 00030, id = 18706, distance = 11.520973508911034
[debug] frame = 00030, id = 18705, distance = 26.902158336945355
[debug] frame = 00031, id = 18706, distance = 11.074972249381034
[debug] frame = 00031, id = 18705, distance = 26.61495611712184
[debug] frame = 00032, id = 18706, distance = 10.46217320252968
[debug] frame = 00032, id = 18705, distance = 26.10493996897308
[debug] frame = 00033, id = 18706, distance = 9.88118138227136
[debug] frame = 00033, id = 18705, distance = 25.522115664734617
[debug] frame = 00034, id = 18706, distance = 9.505657911888822
[debug] frame = 00034, id = 18705, distance = 25.14487290065346
[debug] frame = 00035, id = 18706, distance = 9.390814809123432
[debug] frame = 00035, id = 18705, distance = 25.028547600322167
[debug] frame = 00036, id = 18706, distance = 9.392008812573163
[debug] frame = 00036, id = 18705, distance = 25.02860100199648
[debug] frame = 00037, id = 18706, distance = 9.390456280341617
[debug] frame = 00037, id = 18705, distance = 25.026228260236852
[debug] frame = 00038, id = 18706, distance = 9.388774044920744
[debug] frame = 00038, id = 18705, distance = 25.023985219046626
[debug] frame = 00039, id = 18706, distance = 9.387450380452103
[debug] frame = 00039, id = 18705, distance = 25.022299124620968
[debug] frame = 00040, id = 18706, distance = 9.38651199635391
[debug] frame = 00040, id = 18705, distance = 25.021086052523618
[debug] frame = 00041, id = 18706, distance = 9.38588259176286
[debug] frame = 00041, id = 18705, distance = 25.020284966384708
[debug] frame = 00042, id = 18706, distance = 9.385432468971665
[debug] frame = 00042, id = 18705, distance = 25.01976998183884
[debug] frame = 00043, id = 18706, distance = 9.38515018972805
[debug] frame = 00043, id = 18705, distance = 25.019441918027844
[debug] frame = 00044, id = 18706, distance = 9.384978533431502
[debug] frame = 00044, id = 18705, distance = 25.019235923904326
[debug] frame = 00045, id = 18706, distance = 9.385039570449939
[debug] frame = 00045, id = 18705, distance = 25.019235923904326
[debug] frame = 00046, id = 18706, distance = 9.385062459790426
[debug] frame = 00046, id = 18705, distance = 25.019235923904326
[debug] frame = 00047, id = 18706, distance = 9.38508534729662
[debug] frame = 00047, id = 18705, distance = 25.019235923904326
[debug] frame = 00048, id = 18706, distance = 9.385100607468376
[debug] frame = 00048, id = 18705, distance = 25.019235923904326
[debug] frame = 00049, id = 18706, distance = 9.385115865805838
[debug] frame = 00049, id = 18705, distance = 25.019235923904326
[debug] frame = 00050, id = 18706, distance = 9.385127309558937
[debug] frame = 00050, id = 18705, distance = 25.019235923904326
[debug] frame = 00051, id = 18706, distance = 9.385131125977594
[debug] frame = 00051, id = 18705, distance = 25.019235923904326
[debug] frame = 00052, id = 18706, distance = 9.385131125977594
[debug] frame = 00052, id = 18705, distance = 25.019235923904326
[debug] frame = 00053, id = 18706, distance = 9.38513494056196
[debug] frame = 00053, id = 18705, distance = 25.019235923904326
[debug] frame = 00054, id = 18706, distance = 9.38513494056196
[debug] frame = 00054, id = 18705, distance = 25.019235923904326
[debug] frame = 00055, id = 18706, distance = 9.385142569730691
[debug] frame = 00055, id = 18705, distance = 25.019235923904326
[debug] frame = 00056, id = 18706, distance = 9.385142569730691
[debug] frame = 00056, id = 18705, distance = 25.019235923904326
[debug] frame = 00057, id = 18706, distance = 9.385142569730691
[debug] frame = 00057, id = 18705, distance = 25.019235923904326
[debug] frame = 00058, id = 18706, distance = 9.385142569730691
[debug] frame = 00058, id = 18705, distance = 25.019235923904326
[debug] frame = 00059, id = 18706, distance = 9.385142569730691
[debug] frame = 00059, id = 18705, distance = 25.019235923904326
[debug] frame = 00060, id = 18706, distance = 9.385142569730691
[debug] frame = 00060, id = 18705, distance = 25.019235923904326
[debug] frame = 00061, id = 18706, distance = 9.385142569730691
[debug] frame = 00061, id = 18705, distance = 25.019235923904326
[debug] frame = 00062, id = 18706, distance = 9.385142569730691
[debug] frame = 00062, id = 18705, distance = 25.019235923904326
[debug] frame = 00063, id = 18706, distance = 9.385142569730691
[debug] frame = 00063, id = 18705, distance = 25.019235923904326
[debug] frame = 00064, id = 18706, distance = 9.385142569730691
[debug] frame = 00064, id = 18705, distance = 25.019235923904326
[debug] frame = 00065, id = 18706, distance = 9.385142569730691
[debug] frame = 00065, id = 18705, distance = 25.019235923904326
[debug] frame = 00066, id = 18706, distance = 9.385142569730691
[debug] frame = 00066, id = 18705, distance = 25.019235923904326
[debug] frame = 00067, id = 18706, distance = 9.385142569730691
[debug] frame = 00067, id = 18705, distance = 25.019235923904326
[debug] frame = 00068, id = 18706, distance = 9.385142569730691
[debug] frame = 00068, id = 18705, distance = 25.019235923904326
[debug] frame = 00069, id = 18706, distance = 9.385142569730691
[debug] frame = 00069, id = 18705, distance = 25.019235923904326
[debug] frame = 00070, id = 18706, distance = 9.385142569730691
[debug] frame = 00070, id = 18705, distance = 25.019235923904326
[debug] frame = 00071, id = 18706, distance = 9.385142569730691
[debug] frame = 00071, id = 18705, distance = 25.019235923904326
[debug] frame = 00072, id = 18706, distance = 9.385142569730691
[debug] frame = 00072, id = 18705, distance = 25.019235923904326
[debug] frame = 00073, id = 18706, distance = 9.385142569730691
[debug] frame = 00073, id = 18705, distance = 25.019235923904326
[debug] frame = 00074, id = 18706, distance = 9.385142569730691
[debug] frame = 00074, id = 18705, distance = 25.019235923904326
[debug] frame = 00075, id = 18706, distance = 9.385142569730691
[debug] frame = 00075, id = 18705, distance = 25.019235923904326
[debug] frame = 00076, id = 18706, distance = 9.385142569730691
[debug] frame = 00076, id = 18705, distance = 25.019235923904326
[debug] frame = 00077, id = 18706, distance = 9.385142569730691
[debug] frame = 00077, id = 18705, distance = 25.019235923904326
[debug] frame = 00078, id = 18706, distance = 9.385142569730691
[debug] frame = 00078, id = 18705, distance = 25.019235923904326
[debug] frame = 00079, id = 18706, distance = 9.385142569730691
[debug] frame = 00079, id = 18705, distance = 25.019235923904326
[debug] frame = 00080, id = 18706, distance = 9.385142569730691
[debug] frame = 00080, id = 18705, distance = 25.019235923904326
[debug] res = (True, {'class': 'vehicle', 'state': 'dynamic', 'id': '18706', 'location': [-2.133530616760254, 58.45863723754883, -0.0022663879208266735], 'rotation': [-0.6774591207504272, 0.0011544092558324337, 90.1971435546875], 'bbx_loc': [-0.006293945945799351, 2.872943696274888e-07, 0.7488452196121216], 'center': [-2.133554697036743, 58.46119689941406, 0.7466009259223938], 'extent': [2.44619083404541, 0.9183566570281982, 0.7451388239860535], 'world_cord': [[-3.0603675842285156, 60.9128532409668, 1.462746262550354], [-3.060276985168457, 60.895233154296875, -0.027427155524492264], [-1.2236651182174683, 60.91917419433594, 1.4627832174301147], [-1.2235743999481201, 60.901554107666016, -0.02739015221595764], [-3.0435352325439453, 56.020843505859375, 1.5205918550491333], [-3.0434446334838867, 56.00322341918945, 0.030418485403060913], [-1.2068326473236084, 56.02716064453125, 1.5206289291381836], [-1.2067420482635498, 56.00954055786133, 0.030455488711595535]], 'semantic_tags': [14], 'type_id': 'vehicle.lincoln.mkz_2020', 'color': '0,0,0', 'base_type': 'car', 'num_points': 310, 'distance': 9.390814809123432, 'speed': -0.008847970764506226, 'brake': nan, 'light_state': 'Brake', 'road_id': 15, 'lane_id': -1, 'section_id': 0, 'world2vehicle': [[-0.0034405342303216457, 0.9999241828918457, -0.011823615990579128, -58.461570739746094], [-0.9999940991401672, -0.003441012930124998, -2.0146833776379935e-05, -1.9323610067367554], [-6.08305235800799e-05, 0.01182347722351551, 0.9999300837516785, -0.6890478730201721], [0.0, 0.0, 0.0, 1.0]], 'position': (9.387080229095815, 0.05965819146265483, 0.2580776756111163), 'yaw': 1.5721317689235168, 'color_rgb': None, 'color_name': None, 'lane_type': carla.libcarla.LaneType.Driving, 'lane_type_str': 'Driving', 'is_in_junction': False, 'junction_id': -1, 'distance_to_junction': None, 'next_junction_id': -1, 'next_road_ids': [20], 'next_next_road_ids': [5], 'same_road_as_ego': True, 'same_direction_as_ego': True, 'lane_relative_to_ego': 0, 'steer': 0.004200903243943485, 'vehicle_cuts_in': False})
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00035.json.gz
[debug] max_distance = 10.0
[debug] current_file = ../../../Bench2Drive-rep/HardBreakRoute_Town01_Route30_Weather3/anno/00035.json.gz
[debug] max_distance = 10.0
[debug] frame = 00035, id = 18706, distance = 9.390814809123432
[debug] frame = 00036, id = 18706, distance = 9.392008812573163
[debug] frame = 00037, id = 18706, distance = 9.390456280341617
[debug] frame = 00038, id = 18706, distance = 9.388774044920744
[debug] frame = 00039, id = 18706, distance = 9.387450380452103
[debug] frame = 00040, id = 18706, distance = 9.38651199635391
[debug] frame = 00041, id = 18706, distance = 9.38588259176286
[debug] frame = 00042, id = 18706, distance = 9.385432468971665
[debug] frame = 00043, id = 18706, distance = 9.38515018972805
[debug] frame = 00044, id = 18706, distance = 9.384978533431502
[debug] frame = 00045, id = 18706, distance = 9.385039570449939
